geoid,med_rent,moe,cty_med_rent,pct_med_rent,month_filings,month_rate,pct_white,pct_black,pct_latinx
55079004900,944,113,873.5,108.1,77,9.8,11.6,79.5,4.1
55079000202,1109,76,873.5,127,147,11.5,36.1,58.5,3.5
55079000304,923,256,873.5,105.7,23,12.1,28.9,67.4,3.7
55079180400,729,64,873.5,83.5,8,1.8,79.4,14.7,6
55079120202,758,40,873.5,86.8,8,1.3,67.3,6.7,26
55079019200,848,47,873.5,97.1,35,7.7,49,15.5,28.2
55079001000,951,63,873.5,108.9,122,13.9,0.8,95.4,1.8
55079021700,863,59,873.5,98.8,15,2.6,73.1,0,10.3
55079120502,941,32,873.5,107.7,4,0.3,75.8,1.3,9.9
55079160300,1456,287,873.5,166.7,10,7.9,78.7,0,12.6
55079002200,975,79,873.5,111.6,55,20.9,12.2,81,1.9
55079050102,1035,101,873.5,118.5,111,7.1,25,61.1,3.4
55079060101,1081,103,873.5,123.8,25,3.9,55.8,24.5,8.5
55079009300,849,49,873.5,97.2,61,10.2,32.2,60.8,3.7
55079000700,865,52,873.5,99,42,6.3,10.3,78.1,3.3
55079000800,1075,99,873.5,123.1,85,8.8,19.3,70,0.9
55079070200,1366,169,873.5,156.4,0,0,69,24.6,6.3
55079020300,884,46,873.5,101.2,10,2.9,50.9,0,49.1
55079018200,887,112,873.5,101.5,0,0,93,2.8,4.2
55079001400,860,43,873.5,98.5,213,31,14.3,68.8,3.4
55079080400,827,59,873.5,94.7,14,1.3,72.9,4.9,6
55079090100,1326,167,873.5,151.8,5,0.8,59.7,29.5,0
55079021300,1110,75,873.5,127.1,3,0.6,59.6,15.2,23.4
55079101700,808,129,873.5,92.5,11,1.7,61.9,9.4,29
55079101800,735,79,873.5,84.1,4,1,68.2,27.8,4
55079120203,880,25,873.5,100.7,20,2,68.5,12.5,15.2
55079150301,970,104,873.5,111,4,1.8,69.7,0,0
55079185800,726,110,873.5,83.1,21,11.3,0,97.8,2.2
55079091300,1214,123,873.5,139,6,1.3,79.7,0,0.4
55079016300,787,101,873.5,90.1,76,9.4,12.2,18.5,69.3
55079185700,880,71,873.5,100.7,70,14.6,9.4,83.2,7.5
55079019700,884,115,873.5,101.2,54,6.5,67.3,4,25
55079186000,449,197,873.5,51.4,25,3.2,9.2,85.5,5.3
55079004600,838,106,873.5,95.9,75,13,10.6,88.4,0
55079013000,782,53,873.5,89.5,14,3.7,50.3,16.1,24.6
55079091400,1195,66,873.5,136.8,2,0.7,78.3,6.4,6.7
55079016700,790,59,873.5,90.4,98,11.3,18.2,20.9,50.2
55079012500,876,36,873.5,100.3,5,1.2,62.7,22.8,7.1
55079020700,935,47,873.5,107,12,1.8,58.6,8,28.3
55079000600,778,110,873.5,89.1,187,17.1,7.4,81.4,0
55079185300,1333,45,873.5,152.6,9,1,66,6.5,5
55079018300,985,76,873.5,112.8,5,0.8,78,7.2,14.8
55079160202,1146,334,873.5,131.2,14,1,76.2,1.1,14.6
55079007600,970,60,873.5,111,20,1.4,87.9,5.1,2.8
55079180500,826,56,873.5,94.6,9,1.3,89.7,3.4,6.9
55079187400,1722,73,873.5,197.1,13,1,93.7,0.8,0.8
55079160203,1153,90,873.5,132,23,2.1,70.9,7,12.7
55079004500,812,107,873.5,93,54,9.4,0,92.5,7.7
55079186300,1481,121,873.5,169.5,98,9.3,71.4,14.3,4.7
55079120400,1030,90,873.5,117.9,63,4.7,68.5,18.2,8.9
55079009900,914,68,873.5,104.6,27,13.7,3,97,0
55079005900,867,45,873.5,99.3,98,13,8.6,85.4,5.3
55079004000,690,67,873.5,79,35,5.1,3.5,94.2,2.3
55079000501,909,80,873.5,104.1,95,13.4,21.4,69.5,7.9
55079018000,895,52,873.5,102.5,7,0.7,76.7,5.9,11.3
55079011200,885,114,873.5,101.3,14,1.3,58.7,20.4,4.1
55079008400,803,126,873.5,91.9,28,11.4,4.5,88.6,4.9
55079002400,848,79,873.5,97.1,122,21.6,9.2,90.8,0
55079186600,812,92,873.5,93,36,6.4,40.8,14,44.3
55079008000,856,24,873.5,98,16,2.6,59.4,21.7,5.9
55079003700,939,52,873.5,107.5,21,7.1,7.8,87.8,0
55079170400,957,131,873.5,109.6,1,0.8,86.6,0,10.1
55079185100,770,39,873.5,88.2,23,1.8,73.7,5.2,16.4
55079090700,1107,170,873.5,126.7,1,0.6,94.2,0,0
55079004100,963,62,873.5,110.2,70,11.4,5.7,92.6,3.8
55079002500,858,69,873.5,98.2,114,23.7,7.3,89.2,0
55079000502,828,58,873.5,94.8,368,33.1,7.5,83.3,5.2
55079006300,873,99,873.5,99.9,68,12.5,4.4,93.9,3.7
55079018500,994,185,873.5,113.8,4,2.2,60,0,25
55079000303,1005,178,873.5,115.1,12,4.3,21.8,76.8,0
55079004200,864,40,873.5,98.9,138,16.5,3.8,89.6,2.4
55079020000,739,42,873.5,84.6,63,7.1,32.9,22.8,30.2
55079150100,973,55,873.5,111.4,13,1.1,74.6,1.2,14.3
55079090300,956,53,873.5,109.4,26,3.5,64.1,13.9,1.5
55079019400,941,57,873.5,107.7,10,1,71.1,4.3,19.6
55079002800,855,86,873.5,97.9,108,17.1,1.6,94.5,1.9
55079186200,537,77,873.5,61.5,12,4.2,3.5,95.1,0
55079100400,839,49,873.5,96.1,25,3.5,67.1,17.1,14.7
55079035200,1240,85,873.5,142,8,1.8,69.8,14.9,13.1
55079003100,1022,113,873.5,117,51,7.4,7,83.2,0
55079018800,844,88,873.5,96.6,14,6.1,5.2,14.8,80.4
55079000101,839,138,873.5,96.1,141,7.8,20.4,67.6,4.7
55079007200,846,104,873.5,96.9,22,3,41.5,37.6,10
