geoid,tract_name,county,state,variable,med_rent,moe,cty_med_rent,pct_med_rent,month_date,month_filings,month_rate,month_rate_scale_max,month_diff,pct_white,pct_black,pct_latinx
55079019600,Census Tract 196,Milwaukee County,Wisconsin,B25064_001,731,48,873.5,83.7,01/11/2022,7,0.00858895705521472,0.202806690149059,0.493827160493827,0.787730061349693,0.0392638036809816,0.116564417177914
55079008100,Census Tract 81,Milwaukee County,Wisconsin,B25064_001,652,222,873.5,74.6,01/11/2022,32,0.0874316939890711,0.202806690149059,0.702127659574468,0.153005464480874,0.721311475409836,0.12568306010929
55079006200,Census Tract 62,Milwaukee County,Wisconsin,B25064_001,827,34,873.5,94.7,01/11/2022,93,0.146919431279621,0.202806690149059,0.664780763790665,0,0.985781990521327,0
55079014600,Census Tract 146,Milwaukee County,Wisconsin,B25064_001,671,46,873.5,76.8,01/11/2022,68,0.0806642941874259,0.202806690149059,3.22429906542056,0.412811387900356,0.3570581257414,0.0474495848161329
55079014900,Census Tract 149,Milwaukee County,Wisconsin,B25064_001,631,32,873.5,72.2,01/11/2022,79,0.117037037037037,0.202806690149059,1.25786163522013,0.331851851851852,0.435555555555556,0.179259259259259
55079006900,Census Tract 69,Milwaukee County,Wisconsin,B25064_001,899,43,873.5,102.9,01/11/2022,83,0.143847487001733,0.202806690149059,0.865979381443299,0.0450606585788562,0.831889081455806,0.0502599653379549
55079009800,Census Tract 98,Milwaukee County,Wisconsin,B25064_001,766,118,873.5,87.7,01/11/2022,39,0.107438016528926,0.202806690149059,0.68259385665529,0,0.837465564738292,0.0303030303030303
55079019300,Census Tract 193,Milwaukee County,Wisconsin,B25064_001,1131,161,873.5,129.5,01/11/2022,7,0.0421686746987952,0.202806690149059,1.17647058823529,0.843373493975904,0.0903614457831325,0.0662650602409639
55079001600,Census Tract 16,Milwaukee County,Wisconsin,B25064_001,1008,98,873.5,115.4,01/11/2022,158,0.23201174743025,0.202806690149059,0.926573426573426,0.0734214390602056,0.879588839941263,0.0469897209985316
55079013600,Census Tract 136,Milwaukee County,Wisconsin,B25064_001,613,49,873.5,70.2,01/11/2022,140,0.13738959764475,0.202806690149059,1.14077669902913,0.0932286555446516,0.832188420019627,0.0520117762512267
55079000900,Census Tract 9,Milwaukee County,Wisconsin,B25064_001,865,111,873.5,99,01/11/2022,154,0.188264058679707,0.202806690149059,1.4622641509434,0.0635696821515893,0.775061124694377,0.097799511002445
55079130100,Census Tract 1301,Milwaukee County,Wisconsin,B25064_001,1122,95,873.5,128.4,01/11/2022,27,0.0276639344262295,0.202806690149059,1.57303370786517,0.875,0,0.0399590163934426
55079100600,Census Tract 1006,Milwaukee County,Wisconsin,B25064_001,715,79,873.5,81.9,01/11/2022,4,0.0166666666666667,0.202806690149059,1.31578947368421,0.925,0,0.0208333333333333
55079008600,Census Tract 86,Milwaukee County,Wisconsin,B25064_001,933,62,873.5,106.8,01/11/2022,41,0.170833333333333,0.202806690149059,0.853658536585366,0,1,0
55079130200,Census Tract 1302,Milwaukee County,Wisconsin,B25064_001,1169,99,873.5,133.8,01/11/2022,1,0.00232558139534884,0.202806690149059,0.476190476190476,0.923255813953488,0.0162790697674419,0
55079170600,Census Tract 1706,Milwaukee County,Wisconsin,B25064_001,766,44,873.5,87.7,01/11/2022,29,0.0329545454545455,0.202806690149059,0.828729281767956,0.715909090909091,0.0909090909090909,0.0897727272727273
55079100700,Census Tract 1007,Milwaukee County,Wisconsin,B25064_001,914,390,873.5,104.6,01/11/2022,9,0.0412844036697248,0.202806690149059,1.72413793103448,0.628440366972477,0,0.371559633027523
55079020200,Census Tract 202,Milwaukee County,Wisconsin,B25064_001,893,55,873.5,102.2,01/11/2022,3,0.0104166666666667,0.202806690149059,0.298507462686567,0.302083333333333,0,0.451388888888889
55079180200,Census Tract 1802,Milwaukee County,Wisconsin,B25064_001,841,107,873.5,96.3,01/11/2022,34,0.0374862183020948,0.202806690149059,0.675675675675676,0.736493936052922,0.0694597574421169,0.209481808158765
55079004800,Census Tract 48,Milwaukee County,Wisconsin,B25064_001,802,53,873.5,91.8,01/11/2022,110,0.12514220705347,0.202806690149059,0.92809364548495,0.00910125142207053,0.965870307167236,0.025028441410694
55079007700,Census Tract 77,Milwaukee County,Wisconsin,B25064_001,915,44,873.5,104.8,01/11/2022,25,0.0145011600928074,0.202806690149059,0.962962962962963,0.763921113689095,0.0690255220417633,0.074245939675174
55079101400,Census Tract 1014,Milwaukee County,Wisconsin,B25064_001,789,66,873.5,90.3,01/11/2022,14,0.0152671755725191,0.202806690149059,0.76530612244898,0.682660850599782,0.101417666303162,0.159214830970556
55079005700,Census Tract 57,Milwaukee County,Wisconsin,B25064_001,944,110,873.5,108.1,01/11/2022,22,0.0797101449275362,0.202806690149059,1.4375,0.318840579710145,0.52536231884058,0.148550724637681
55079011400,Census Tract 114,Milwaukee County,Wisconsin,B25064_001,1239,124,873.5,141.8,01/11/2022,19,0.0318257956448911,0.202806690149059,1.61290322580645,0.693467336683417,0.232830820770519,0.0519262981574539
55079012200,Census Tract 122,Milwaukee County,Wisconsin,B25064_001,797,128,873.5,91.2,01/11/2022,47,0.115479115479116,0.202806690149059,0.601503759398496,0.0368550368550369,0.530712530712531,0.027027027027027
55079050101,Census Tract 501.01,Milwaukee County,Wisconsin,B25064_001,855,63,873.5,97.9,01/11/2022,26,0.0893470790378007,0.202806690149059,1.60714285714286,0.288659793814433,0.711340206185567,0
55079012700,Census Tract 127,Milwaukee County,Wisconsin,B25064_001,1146,92,873.5,131.2,01/11/2022,2,0.0108695652173913,0.202806690149059,0.714285714285714,0.902173913043478,0.0434782608695652,0.0760869565217391
55079021100,Census Tract 211,Milwaukee County,Wisconsin,B25064_001,1047,190,873.5,119.9,01/11/2022,2,0.0106382978723404,0.202806690149059,1,0.702127659574468,0,0.297872340425532
55079018400,Census Tract 184,Milwaukee County,Wisconsin,B25064_001,969,79,873.5,110.9,01/11/2022,6,0.0212765957446809,0.202806690149059,1.20689655172414,0.868794326241135,0,0.131205673758865
55079011300,Census Tract 113,Milwaukee County,Wisconsin,B25064_001,1339,177,873.5,153.3,01/11/2022,12,0.00933125972006221,0.202806690149059,2.03125,0.797822706065319,0.114307931570762,0.0349922239502333
55079185400,Census Tract 1854,Milwaukee County,Wisconsin,B25064_001,859,31,873.5,98.3,01/11/2022,38,0.128378378378378,0.202806690149059,0.703971119133574,0,0.939189189189189,0.0168918918918919
55079070300,Census Tract 703,Milwaukee County,Wisconsin,B25064_001,1289,92,873.5,147.6,01/11/2022,17,0.02660406885759,0.202806690149059,6,0.624413145539906,0.153364632237872,0.0485133020344288
55079017900,Census Tract 179,Milwaukee County,Wisconsin,B25064_001,933,51,873.5,106.8,01/11/2022,17,0.0164569215876089,0.202806690149059,1.02272727272727,0.752178121974831,0.0764762826718296,0.0813165537270087
55079160100,Census Tract 1601,Milwaukee County,Wisconsin,B25064_001,1039,92,873.5,118.9,01/11/2022,32,0.0296570898980538,0.202806690149059,2.01219512195122,0.585727525486562,0.072289156626506,0.0750695088044486
55079009200,Census Tract 92,Milwaukee County,Wisconsin,B25064_001,910,59,873.5,104.2,01/11/2022,65,0.154028436018957,0.202806690149059,1.11864406779661,0.270142180094787,0.609004739336493,0.052132701421801
55079000301,Census Tract 3.01,Milwaukee County,Wisconsin,B25064_001,1019,355,873.5,116.7,01/11/2022,1,0.0416666666666667,0.202806690149059,1.66666666666667,1,0,0
55079080200,Census Tract 802,Milwaukee County,Wisconsin,B25064_001,1059,63,873.5,121.2,01/11/2022,13,0.012093023255814,0.202806690149059,7.77777777777778,0.906976744186047,0.0595348837209302,0.0306976744186047
55079009400,Census Tract 94,Milwaukee County,Wisconsin,B25064_001,1010,80,873.5,115.6,01/11/2022,6,0.0153061224489796,0.202806690149059,1.52173913043478,0.510204081632653,0.377551020408163,0.112244897959184
55079015700,Census Tract 157,Milwaukee County,Wisconsin,B25064_001,746,64,873.5,85.4,01/11/2022,49,0.0661268556005398,0.202806690149059,1.13636363636364,0.130904183535762,0.188933873144399,0.661268556005398
55079006000,Census Tract 60,Milwaukee County,Wisconsin,B25064_001,903,42,873.5,103.4,01/11/2022,108,0.155844155844156,0.202806690149059,1.09657947686117,0.0476190476190476,0.883116883116883,0.0606060606060606
55079009000,Census Tract 90,Milwaukee County,Wisconsin,B25064_001,875,48,873.5,100.2,01/11/2022,69,0.126142595978062,0.202806690149059,0.595238095238095,0.0511882998171847,0.906764168190128,0.0109689213893967
55079120201,Census Tract 1202.01,Milwaukee County,Wisconsin,B25064_001,1073,38,873.5,122.8,01/11/2022,18,0.0202702702702703,0.202806690149059,3.51851851851852,0.86036036036036,0.0596846846846847,0.0585585585585586
55079001100,Census Tract 11,Milwaukee County,Wisconsin,B25064_001,832,34,873.5,95.2,01/11/2022,70,0.0888324873096447,0.202806690149059,1.01719197707736,0.0913705583756345,0.83756345177665,0
55079021600,Census Tract 216,Milwaukee County,Wisconsin,B25064_001,851,90,873.5,97.4,01/11/2022,6,0.0144927536231884,0.202806690149059,0.393258426966292,0.507246376811594,0.0144927536231884,0.198067632850242
55079008800,Census Tract 88,Milwaukee County,Wisconsin,B25064_001,797,76,873.5,91.2,01/11/2022,87,0.180497925311203,0.202806690149059,0.744500846023689,0.053941908713693,0.904564315352697,0.0103734439834025
55079011000,Census Tract 110,Milwaukee County,Wisconsin,B25064_001,752,82,873.5,86.1,01/11/2022,60,0.0357142857142857,0.202806690149059,1.36160714285714,0.669047619047619,0.1625,0.0773809523809524
55079011100,Census Tract 111,Milwaukee County,Wisconsin,B25064_001,884,136,873.5,101.2,01/11/2022,13,0.0155875299760192,0.202806690149059,0.777777777777778,0.786570743405276,0.0767386091127098,0.0599520383693046
55079016600,Census Tract 166,Milwaukee County,Wisconsin,B25064_001,779,60,873.5,89.2,01/11/2022,37,0.0738522954091816,0.202806690149059,0.815450643776824,0.249500998003992,0.205588822355289,0.526946107784431
55079186100,Census Tract 1861,Milwaukee County,Wisconsin,B25064_001,500,131,873.5,57.2,01/11/2022,54,0.09,0.202806690149059,0.828313253012048,0.0433333333333333,0.84,0.0266666666666667
55079006600,Census Tract 66,Milwaukee County,Wisconsin,B25064_001,819,54,873.5,93.8,01/11/2022,76,0.157349896480331,0.202806690149059,0.633223684210526,0.0393374741200828,0.87991718426501,0.0393374741200828
55079001800,Census Tract 18,Milwaukee County,Wisconsin,B25064_001,849,111,873.5,97.2,01/11/2022,110,0.186440677966102,0.202806690149059,0.960207612456747,0,0.913559322033898,0.0864406779661017
55079120101,Census Tract 1201.01,Milwaukee County,Wisconsin,B25064_001,1175,102,873.5,134.5,01/11/2022,7,0.00816802800466745,0.202806690149059,0.555555555555556,0.857642940490082,0.0361726954492415,0.0490081680280047
55079019000,Census Tract 190,Milwaukee County,Wisconsin,B25064_001,876,67,873.5,100.3,01/11/2022,27,0.0473684210526316,0.202806690149059,0.927152317880795,0.371929824561404,0.152631578947368,0.403508771929825
55079006800,Census Tract 68,Milwaukee County,Wisconsin,B25064_001,782,68,873.5,89.5,01/11/2022,80,0.128410914927769,0.202806690149059,0.870967741935484,0.0337078651685393,0.956661316211878,0.014446227929374
55079000102,Census Tract 1.02,Milwaukee County,Wisconsin,B25064_001,957,52,873.5,109.6,01/11/2022,180,0.222222222222222,0.202806690149059,1.29470672389127,0.124691358024691,0.793827160493827,0.0814814814814815
55079101600,Census Tract 1016,Milwaukee County,Wisconsin,B25064_001,738,149,873.5,84.5,01/11/2022,12,0.0197693574958814,0.202806690149059,0.52,0.754530477759473,0.0971993410214168,0.128500823723229
55079005600,Census Tract 56,Milwaukee County,Wisconsin,B25064_001,961,44,873.5,110,01/11/2022,3,0.012448132780083,0.202806690149059,1.66666666666667,0.692946058091286,0.120331950207469,0.0788381742738589
55079003200,Census Tract 32,Milwaukee County,Wisconsin,B25064_001,1012,186,873.5,115.9,01/11/2022,33,0.1,0.202806690149059,0.845771144278607,0.0636363636363636,0.766666666666667,0.127272727272727
55079003900,Census Tract 39,Milwaukee County,Wisconsin,B25064_001,884,73,873.5,101.2,01/11/2022,71,0.107738998482549,0.202806690149059,1.05263157894737,0.0682852807283763,0.91350531107739,0
55079016900,Census Tract 169,Milwaukee County,Wisconsin,B25064_001,693,57,873.5,79.3,01/11/2022,55,0.0562372188139059,0.202806690149059,0.777777777777778,0.192229038854806,0.0613496932515337,0.746421267893661
55079017600,Census Tract 176,Milwaukee County,Wisconsin,B25064_001,771,72,873.5,88.3,01/11/2022,43,0.0762411347517731,0.202806690149059,0.711974110032362,0.143617021276596,0.117021276595745,0.725177304964539
55079080100,Census Tract 801,Milwaukee County,Wisconsin,B25064_001,1045,92,873.5,119.6,01/11/2022,6,0.00865800865800866,0.202806690149059,0.277777777777778,0.825396825396825,0.075036075036075,0.038961038961039
55079101500,Census Tract 1015,Milwaukee County,Wisconsin,B25064_001,735,27,873.5,84.1,01/11/2022,15,0.0154639175257732,0.202806690149059,0.49079754601227,0.643298969072165,0.105154639175258,0.188659793814433
55079187000,Census Tract 1870,Milwaukee County,Wisconsin,B25064_001,963,53,873.5,110.2,01/11/2022,43,0.0226793248945148,0.202806690149059,2.22222222222222,0.798523206751055,0.0870253164556962,0.060126582278481
55079185500,Census Tract 1855,Milwaukee County,Wisconsin,B25064_001,709,71,873.5,81.2,01/11/2022,39,0.0776892430278885,0.202806690149059,0.615384615384615,0,0.936254980079681,0.00796812749003984
55079005100,Census Tract 51,Milwaukee County,Wisconsin,B25064_001,759,42,873.5,86.9,01/11/2022,195,0.180722891566265,0.202806690149059,1.66101694915254,0.072289156626506,0.860055607043559,0.0370713623725672
55079012400,Census Tract 124,Milwaukee County,Wisconsin,B25064_001,778,54,873.5,89.1,01/11/2022,14,0.021978021978022,0.202806690149059,0.535714285714286,0.572998430141287,0.271585557299843,0.0753532182103611
55079009500,Census Tract 95,Milwaukee County,Wisconsin,B25064_001,949,32,873.5,108.6,01/11/2022,13,0.0431893687707641,0.202806690149059,1.20689655172414,0.60797342192691,0.209302325581395,0.172757475083056
55079015900,Census Tract 159,Milwaukee County,Wisconsin,B25064_001,760,84,873.5,87,01/11/2022,56,0.0598290598290598,0.202806690149059,0.928338762214984,0.213675213675214,0.282051282051282,0.495726495726496
55079016100,Census Tract 161,Milwaukee County,Wisconsin,B25064_001,820,59,873.5,93.9,01/11/2022,12,0.0230326295585413,0.202806690149059,0.451388888888889,0.126679462571977,0.0882917466410749,0.738963531669866
55079021000,Census Tract 210,Milwaukee County,Wisconsin,B25064_001,894,86,873.5,102.3,01/11/2022,2,0.00956937799043062,0.202806690149059,0.681818181818182,0.77511961722488,0.105263157894737,0.124401913875598
55079003800,Census Tract 38,Milwaukee County,Wisconsin,B25064_001,905,67,873.5,103.6,01/11/2022,45,0.104895104895105,0.202806690149059,1.08490566037736,0.0815850815850816,0.855477855477855,0.0233100233100233
55079005300,Census Tract 53,Milwaukee County,Wisconsin,B25064_001,1036,160,873.5,118.6,01/11/2022,5,0.0144092219020173,0.202806690149059,0.405405405405405,0.328530259365994,0.527377521613833,0
55079170200,Census Tract 1702,Milwaukee County,Wisconsin,B25064_001,858,23,873.5,98.2,01/11/2022,24,0.0310880829015544,0.202806690149059,0.739644970414201,0.669689119170985,0.094559585492228,0.16839378238342
55079180300,Census Tract 1803,Milwaukee County,Wisconsin,B25064_001,811,76,873.5,92.8,01/11/2022,57,0.079608938547486,0.202806690149059,1.24463519313305,0.752793296089386,0.0474860335195531,0.175977653631285
55079140202,Census Tract 1402.02,Milwaukee County,Wisconsin,B25064_001,945,59,873.5,108.2,01/11/2022,3,0.00606060606060606,0.202806690149059,0.4,0.783838383838384,0.123232323232323,0.0646464646464647
55079007800,Census Tract 78,Milwaukee County,Wisconsin,B25064_001,1155,153,873.5,132.2,01/11/2022,17,0.0172764227642276,0.202806690149059,1.03448275862069,0.737804878048781,0.0630081300813008,0.0802845528455285
55079018900,Census Tract 189,Milwaukee County,Wisconsin,B25064_001,966,88,873.5,110.6,01/11/2022,1,0.004,0.202806690149059,0.303030303030303,0.208,0.088,0.684
55079090800,Census Tract 908,Milwaukee County,Wisconsin,B25064_001,839,50,873.5,96.1,01/11/2022,2,0.00873362445414847,0.202806690149059,2.14285714285714,0.812227074235808,0.104803493449782,0
55079006700,Census Tract 67,Milwaukee County,Wisconsin,B25064_001,863,45,873.5,98.8,01/11/2022,34,0.131782945736434,0.202806690149059,0.479452054794521,0,0.930232558139535,0.0155038759689922
